index,problem,answer
1,競漕会の三日前のレースコースでの結果は、農科と文科でどれくらいの秒数差があったか？,競漕会の三日前のレースコースでの結果については、農科と文科の間にわずか半艇身の差があったと記されています。これは時間にして二分の一秒に相当し、非常に僅差であったことが強調されています。
2,骸骨男の正体は誰ですか？作中で言及されている氏名で答えること。,
3,骸骨男はバスの中に足跡を一切残さずにどうやって抜け出しましたか？,
4,殺人罪で裁判にかけられた兄が登場しますが、その理由は何ですか？,
5,小説「芽生」で出てくる国名は何種類ですか？,小説「芽生」には特定の国名が出てきません。したがって、国名の種類はありません。
6,武男と浪子のうち、どちらが野外での楽しみをより積極的に表現していますか？,
7,小説「芽生」で、主人公が東京から小諸に帰る時期から、実際に引越しが完了するまでの間はだいたいどのぐらいの日数だと考えられますか？,小説「芽生」では、主人公が東京から小諸に帰る時期から引越しが完了するまでの具体的な日数は明示されていませんが、引越しの準備や手続きに関する描写から、数週間から一ヶ月程度の期間がかかると考えられます。具体的な日数は不明です。
8,「競漕」の中で、文科のボート部メンバーが実際に酒を飲むシーンは何回か？,文科のボート部メンバーが実際に酒を飲むシーンは一回です。窪田が特別に一人約二合ほどの酒を許した場面があります。
9,文中に登場するカタカナ表記された北海道の地名を全て挙げてください。,
10,兄が情死を試みた時点から、実際に死亡するまでおよそ何年経過したと考えられますか？,
11,お房が小諸を出発した日に一緒に出かけた友達は誰でしたか？,
12,サーカス団の楽屋にいるライオンの数は合計何匹ですか？,
13,死生に関するいくつかの断想に登場する二人の兄弟のうち、より健康だったのはどちらですか？,
14,笠原正一君が見た恐ろしい夢の内容は何ですか？,
15,馬に乗った骸骨男を見つけてから、明智が投げ縄をするまでに縮めた差は何メートルだと考えられますか？,
16,染物屋で広げられた絹や綿の長い布に関して描写されている色を全て挙げてください。（読点区切り）,
17,主人公が「最後の晩餐（ばんさん）！」と思った理由はなんですか？,
18,少年探偵団のメンバーで捜査に協力した人々で名前が作中で言及されている人たちを全て答えてください(読点区切り、苗字のみ),
19,「万右衛門」という名前は何回登場しますか？,
20,染物屋の家族が、泥棒から身を守ることができた理由は何ですか？,
21,小説「芽生」で、 主人公が借りることができた庭に植えられていたものとして描写している植物を全てあげてください。（読点区切り）,小説「芽生」で、主人公が借りることができた庭に植えられていた植物として描写されているものは、草花、葡萄ジャムの土産、五月の花、木犀の樹です。
22,ノロちゃんの本名は？,
23,今年の春季に開かれる大学のボート大会の文科メンバーの中で、名前が公表されている全員をあげてください。（苗字のみ、読点区切り）,"窪田, 浅沼, 津島, 久野, 水原, 斎藤"
24,文中での「大豆」という文字の登場回数は何回ですか？,
25,久野が舵手として参加することになった春季に開かれる大学のボート大会の勝者は、何科ですか？,文科が勝者です。
26,骸骨男にさらわれたのは正一君とミヨ子ちゃんのどちらですか？,
